fight,fighter,opponent,fighter_url,result,kd,sig. str.,sig. str. att,sig. str. %,total str.,total str. att,td,td att,td %,sub. att,rev.,ctrl,head,head att,body,body att,leg,leg att,distance,distance att,clinch,clinch att,ground,ground att
UFC 193: Rousey vs Holm: Joanna Jedrzejczyk v Valerie Letourneau,Valerie Letourneau,Joanna Jedrzejczyk,http://ufcstats.com/fighter-details/46a2f24feb258ae0,loss,0.0,103.0,321.0,0.32,120.0,341.0,1.0,5.0,0.2,0.0,0.0,0.6,72.0,275.0,20.0,32.0,11.0,14.0,91.0,303.0,7.0,13.0,5.0,5.0
UFC 193: Rousey vs Holm: Richard Walsh v Steve Kennedy,Richard Walsh,Steve Kennedy,http://ufcstats.com/fighter-details/303a05a7aa3ff761,win,0.0,93.0,170.0,0.54,132.0,214.0,0.0,0.0,,0.0,0.0,4.466666666666667,58.0,127.0,13.0,19.0,22.0,24.0,49.0,110.0,11.0,19.0,33.0,41.0
UFC 193: Rousey vs Holm: Richard Walsh v Steve Kennedy,Steve Kennedy,Richard Walsh,http://ufcstats.com/fighter-details/185fb0200a4605e6,loss,0.0,38.0,102.0,0.37,61.0,128.0,3.0,8.0,0.37,0.0,0.0,4.383333333333334,31.0,92.0,3.0,6.0,4.0,4.0,33.0,92.0,0.0,2.0,5.0,8.0
UFC 193: Rousey vs Holm: Uriah Hall v Robert Whittaker,Uriah Hall,Robert Whittaker,http://ufcstats.com/fighter-details/65578a75fa7900e3,loss,0.0,45.0,94.0,0.47,58.0,107.0,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,17.0,58.0,10.0,15.0,18.0,21.0,40.0,87.0,4.0,5.0,1.0,2.0
UFC 193: Rousey vs Holm: Uriah Hall v Robert Whittaker,Robert Whittaker,Uriah Hall,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,win,0.0,67.0,144.0,0.46,108.0,186.0,1.0,2.0,0.5,0.0,0.0,4.716666666666667,39.0,107.0,6.0,11.0,22.0,26.0,43.0,110.0,12.0,17.0,12.0,17.0
UFC 193: Rousey vs Holm: James Moontasri v Anton Zafir,James Moontasri,Anton Zafir,http://ufcstats.com/fighter-details/c06a9b48d4132c8e,win,1.0,11.0,21.0,0.52,13.0,23.0,0.0,0.0,,0.0,0.0,0.05,5.0,14.0,3.0,4.0,3.0,3.0,8.0,11.0,1.0,2.0,2.0,8.0
UFC 193: Rousey vs Holm: James Moontasri v Anton Zafir,Anton Zafir,James Moontasri,http://ufcstats.com/fighter-details/8c822811eedc11ad,loss,0.0,17.0,25.0,0.68,31.0,40.0,1.0,3.0,0.33,0.0,0.0,2.833333333333333,8.0,14.0,6.0,8.0,3.0,3.0,5.0,11.0,5.0,7.0,7.0,7.0
UFC 193: Rousey vs Holm: Jake Matthews v Akbarh Arreola,Jake Matthews,Akbarh Arreola,http://ufcstats.com/fighter-details/a845f0735bc67405,win,0.0,62.0,98.0,0.63,96.0,136.0,1.0,3.0,0.33,0.0,0.0,5.65,54.0,88.0,4.0,5.0,4.0,5.0,8.0,19.0,3.0,4.0,51.0,75.0
UFC 193: Rousey vs Holm: Jake Matthews v Akbarh Arreola,Akbarh Arreola,Jake Matthews,http://ufcstats.com/fighter-details/c136b2a8852da5bd,loss,1.0,21.0,41.0,0.51,33.0,55.0,0.0,0.0,,0.0,0.0,1.9833333333333332,17.0,33.0,1.0,4.0,3.0,4.0,9.0,21.0,0.0,1.0,12.0,19.0
UFC 193: Rousey vs Holm: Anthony Perosh v Gian Villante,Anthony Perosh,Gian Villante,http://ufcstats.com/fighter-details/4b4753d19489297f,loss,0.0,6.0,32.0,0.18,7.0,33.0,0.0,0.0,,0.0,0.0,0.0,6.0,30.0,0.0,2.0,0.0,0.0,6.0,30.0,0.0,2.0,0.0,0.0
UFC 193: Rousey vs Holm: Anthony Perosh v Gian Villante,Gian Villante,Anthony Perosh,http://ufcstats.com/fighter-details/fcd448a2fe1a23cc,win,1.0,19.0,34.0,0.55,19.0,34.0,0.0,0.0,,0.0,0.0,0.0166666666666666,12.0,26.0,5.0,6.0,2.0,2.0,17.0,31.0,2.0,3.0,0.0,0.0
UFC 193: Rousey vs Holm: Ronda Rousey v Holly Holm,Ronda Rousey,Holly Holm,http://ufcstats.com/fighter-details/8bdac25ce0bb874d,loss,0.0,17.0,65.0,0.26,21.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0666666666666666,13.0,59.0,4.0,6.0,0.0,0.0,13.0,59.0,4.0,6.0,0.0,0.0
UFC 193: Rousey vs Holm: Ronda Rousey v Holly Holm,Holly Holm,Ronda Rousey,http://ufcstats.com/fighter-details/634e2fb70bde3fd5,win,1.0,38.0,53.0,0.71,38.0,53.0,1.0,1.0,1.0,0.0,0.0,0.25,29.0,44.0,4.0,4.0,5.0,5.0,31.0,45.0,4.0,4.0,3.0,4.0
UFC 193: Rousey vs Holm: Mark Hunt v Antonio Silva,Mark Hunt,Antonio Silva,http://ufcstats.com/fighter-details/eef9b891edbd4604,win,1.0,12.0,18.0,0.66,13.0,19.0,0.0,0.0,,0.0,0.0,0.0333333333333333,7.0,13.0,2.0,2.0,3.0,3.0,10.0,15.0,0.0,1.0,2.0,2.0
UFC 193: Rousey vs Holm: Mark Hunt v Antonio Silva,Antonio Silva,Mark Hunt,http://ufcstats.com/fighter-details/8349d55cdecd393a,loss,0.0,9.0,17.0,0.52,9.0,17.0,0.0,0.0,,0.0,0.0,0.0,2.0,6.0,2.0,5.0,5.0,6.0,9.0,17.0,0.0,0.0,0.0,0.0
UFC Fight Night: Belfort vs Henderson 3: Clay Guida v Thiago Tavares,Clay Guida,Thiago Tavares,http://ufcstats.com/fighter-details/c47df9303d318c67,loss,0.0,3.0,11.0,0.27,3.0,11.0,1.0,1.0,1.0,0.0,0.0,0.3,2.0,10.0,0.0,0.0,1.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0
